date,4. close,4. close,4. close
2014-11-03,47.44,109.4,563.77
2014-11-04,47.57,108.6,564.19
2014-11-05,47.86,108.86,555.95
2014-11-06,48.7,108.7,551.69
2014-11-07,48.68,109.01,551.82
2014-11-10,48.89,108.83,558.23
2014-11-11,48.87,109.7,561.29
2014-11-12,48.78,111.25,558.25
2014-11-13,49.61,112.82,556.44
2014-11-14,49.58,114.18,555.19
2014-11-17,49.46,113.99,546.64
2014-11-18,48.74,115.47,544.51
2014-11-19,48.22,114.67,547.2
2014-11-20,48.7,116.31,543.76
2014-11-21,47.98,116.47,545.89
2014-11-24,47.59,118.625,547.48
2014-11-25,47.47,117.6,549.23
2014-11-26,47.75,119.0,547.73
2014-11-28,47.81,118.93,549.08
2014-12-01,48.62,115.07,539.65
2014-12-02,48.46,114.63,538.59
2014-12-03,48.08,115.93,536.97
2014-12-04,48.84,115.49,542.58
2014-12-05,48.42,115.0,528.08
2014-12-08,47.695,112.4,530.73
2014-12-09,47.59,114.12,536.11
2014-12-10,46.9,111.95,528.04
2014-12-11,47.17,111.62,532.11
2014-12-12,46.95,109.73,521.51
2014-12-15,46.67,108.225,515.84
2014-12-16,45.16,106.745,498.16
2014-12-17,45.74,109.41,506.45
2014-12-18,47.52,112.65,514.62
2014-12-19,47.66,111.78,520.04
2014-12-22,47.98,112.94,532.3
2014-12-23,48.45,112.54,538.77
2014-12-24,48.14,112.01,536.93
2014-12-26,47.88,113.99,541.52
2014-12-29,47.45,113.91,537.31
2014-12-30,47.02,112.52,535.28
2014-12-31,46.45,110.38,530.66
2015-01-02,46.76,109.33,529.55
2015-01-05,46.325,106.25,519.46
2015-01-06,45.65,106.26,506.64
2015-01-07,46.23,107.75,505.15
2015-01-08,47.59,111.89,506.91
2015-01-09,47.19,112.01,500.72
2015-01-12,46.6,109.25,497.06
2015-01-13,46.355,110.22,501.8
2015-01-14,45.955,109.8,505.93
2015-01-15,45.48,106.82,504.01
2015-01-16,46.24,105.99,510.455
2015-01-20,46.39,108.72,509.94
2015-01-21,45.92,109.55,520.39
2015-01-22,47.13,112.4,537.3
2015-01-23,47.18,112.98,541.95
2015-01-26,47.01,113.1,536.72
2015-01-27,42.66,109.14,521.19
2015-01-28,41.19,115.31,512.43
2015-01-29,42.01,118.9,513.23
2015-01-30,40.4,117.16,537.55
2015-02-02,41.28,118.63,532.2
2015-02-03,41.6,118.65,533.3
2015-02-04,41.84,119.56,526.1
2015-02-05,42.45,119.94,529.83
2015-02-06,42.41,118.93,533.875
2015-02-09,42.36,119.72,529.28
2015-02-10,42.6,122.02,540.16
2015-02-11,42.38,124.88,538.0
2015-02-12,43.09,126.46,546.01
2015-02-13,43.87,127.08,551.16
2015-02-17,43.58,127.83,545.01
2015-02-18,43.53,128.715,542.65
2015-02-19,43.5,128.45,546.45
2015-02-20,43.855,129.495,541.8
2015-02-23,44.15,133.0,535.0
2015-02-24,44.09,132.17,538.65
2015-02-25,43.99,128.79,547.33
2015-02-26,44.055,130.415,559.29
2015-02-27,43.85,128.46,562.63
2015-03-02,43.88,129.09,575.02
2015-03-03,43.28,129.36,578.795
2015-03-04,43.055,128.54,578.33
2015-03-05,43.11,126.41,581.435
2015-03-06,42.36,126.6,572.9
2015-03-09,42.85,127.14,574.1
2015-03-10,42.03,124.51,559.85
2015-03-11,41.98,122.24,555.69
2015-03-12,41.02,124.45,561.17
2015-03-13,41.38,123.59,553.0
2015-03-16,41.56,124.95,561.64
2015-03-17,41.695,127.04,557.61
2015-03-18,42.5,128.47,566.16
2015-03-19,42.285,127.495,563.67
2015-03-20,42.88,125.9,564.95
2015-03-23,42.855,127.21,565.37
2015-03-24,42.9,126.69,577.54
2015-03-25,41.46,123.38,567.0
2015-03-26,41.21,124.24,563.64
2015-03-27,40.97,123.25,557.55
2015-03-30,40.96,126.37,561.135
2015-03-31,40.655,124.43,554.7
2015-04-01,40.72,124.25,549.49
2015-04-02,40.29,125.32,541.31
2015-04-06,41.545,127.35,543.95
2015-04-07,41.53,126.01,544.86
2015-04-08,41.42,125.6,548.84
2015-04-09,41.48,126.56,548.02
2015-04-10,41.72,127.1,548.54
2015-04-13,41.76,126.85,548.64
2015-04-14,41.65,126.3,539.78
2015-04-15,42.255,126.78,541.04
2015-04-16,42.16,126.17,543.52
2015-04-17,41.615,124.75,532.74
2015-04-20,42.905,127.6,544.53
2015-04-21,42.635,126.91,542.925
2015-04-22,42.985,128.62,549.18
2015-04-23,43.34,129.67,557.46
2015-04-24,47.87,130.28,573.66
2015-04-27,48.03,132.65,566.12
2015-04-28,49.155,130.56,564.37
2015-04-29,49.06,128.64,561.39
2015-04-30,48.64,125.15,548.77
2015-05-01,48.655,128.95,551.16
2015-05-04,48.24,128.7,552.84
2015-05-05,47.6,125.8,543.045
2015-05-06,46.28,125.01,535.08
2015-05-07,46.7,125.26,542.04
2015-05-08,47.75,127.62,548.95
2015-05-11,47.37,126.32,545.78
2015-05-12,47.35,125.865,538.73
2015-05-13,47.625,126.01,539.49
2015-05-14,48.72,128.95,549.2
2015-05-15,48.295,128.77,546.49
2015-05-18,48.01,130.19,546.67
2015-05-19,47.58,130.07,549.28
2015-05-20,47.58,130.06,552.51
2015-05-21,47.42,131.39,556.81
2015-05-22,46.9,132.54,554.52
2015-05-26,46.59,129.62,547.19
2015-05-27,47.61,132.045,554.25
2015-05-28,47.45,131.78,554.18
2015-05-29,46.86,130.28,545.32
2015-06-01,47.23,130.535,549.21
2015-06-02,46.92,129.96,553.95
2015-06-03,46.85,130.12,555.29
2015-06-04,46.36,129.36,551.69
2015-06-05,46.14,128.65,549.53
2015-06-08,45.73,127.8,543.48
2015-06-09,45.65,127.42,542.16
2015-06-10,46.61,128.88,552.6
2015-06-11,46.44,128.59,550.04
2015-06-12,45.97,127.17,547.47
2015-06-15,45.475,126.92,543.0
