Datum;Schlusskurs;SMA
2018-08-31 00:00:00;112,33;105,565
2018-08-30 00:00:00;111,95;105,3364
2018-08-29 00:00:00;112,02;105,1035
2018-08-28 00:00:00;110,26;104,8049
2018-08-27 00:00:00;109,6;104,582
2018-08-24 00:00:00;108,4;104,3568
2018-08-23 00:00:00;107,56;104,3015
2018-08-22 00:00:00;107,06;104,3809
2018-08-21 00:00:00;105,98;104,5429
2018-08-20 00:00:00;106,87;104,6042
2018-08-17 00:00:00;107,58;104,6372
2018-08-16 00:00:00;107,64;104,5536
2018-08-15 00:00:00;107,66;104,3766
2018-08-14 00:00:00;109,56;104,2335
2018-08-13 00:00:00;108,21;104,059
2018-08-10 00:00:00;109;103,8994
2018-08-09 00:00:00;109,67;103,7268
2018-08-08 00:00:00;109,49;103,4618
2018-08-07 00:00:00;108,88;103,0987
2018-08-06 00:00:00;108,13;102,7719
2018-08-03 00:00:00;108,04;102,4683
2018-08-02 00:00:00;107,57;102,1356
2018-08-01 00:00:00;106,28;101,758
2018-07-31 00:00:00;106,08;101,4084
2018-07-30 00:00:00;105,37;101,115
2018-07-27 00:00:00;107,68;100,7881
2018-07-26 00:00:00;109,62;100,3505
2018-07-25 00:00:00;110,83;99,7665
2018-07-24 00:00:00;107,66;99,1984
2018-07-23 00:00:00;107,97;98,7502
2018-07-20 00:00:00;106,27;98,3846
2018-07-19 00:00:00;104,4;98,1366
2018-07-18 00:00:00;105,12;98,0143
2018-07-17 00:00:00;105,95;97,8083
2018-07-16 00:00:00;104,91;97,5622
2018-07-13 00:00:00;105,43;97,3311
2018-07-12 00:00:00;104,19;97,1372
2018-07-11 00:00:00;101,98;96,9757
2018-07-10 00:00:00;102,12;96,9433
2018-07-09 00:00:00;101,85;96,8916
2018-07-06 00:00:00;101,16;96,881
2018-07-05 00:00:00;99,76;96,8674
2018-07-03 00:00:00;99,05;96,9994
2018-07-02 00:00:00;100,01;97,1513
2018-06-29 00:00:00;98,61;97,2315
2018-06-28 00:00:00;98,63;97,3369
2018-06-27 00:00:00;97,54;97,3471
2018-06-26 00:00:00;99,08;97,4152
2018-06-25 00:00:00;98,39;97,3635
2018-06-22 00:00:00;100,41;97,3621
2018-06-21 00:00:00;101,14;97,2605
